2021-03-16 13:11:35.272385,2021-03-16 15:27:41.728012,2:16:06.455627,2:16:06.455627
2021-03-28 18:25:20.673320,2021-03-28 19:56:24.957179,1:31:04.283859,3:47:10.739486
2021-03-30 20:37:39.846638,2021-03-30 23:53:08.082422,3:15:28.235784,7:02:38.975270
2021-04-08 15:08:28.076900,2021-04-08 15:21:05.831978,0:12:37.755078,7:15:16.730348
2021-04-23 22:10:14.025012,2021-04-24 00:19:30.712518,2:09:16.687506,9:24:33.417854
2021-04-30 21:08:09.840952,2021-04-30 21:38:48.294073,0:30:38.453121,9:55:11.870975
2021-05-16 20:11:50.786978,2021-05-16 22:15:09.005728,2:03:18.218750,11:58:30.089725
2021-05-22 14:03:00.526499,2021-05-22 14:35:51.370249,0:32:50.843750,12:31:20.933475
2021-06-15 21:34:11.819580,2021-06-15 22:00:08.507081,0:25:56.687501,12:57:17.620976
2021-06-15 22:00:13.507082,2021-06-15 22:04:58.428954,0:04:44.921872,13:02:02.542848
2021-06-15 22:05:01.272705,2021-06-15 22:26:16.022704,0:21:14.749999,13:23:17.292847
2021-06-15 23:44:26.288328,2021-06-15 23:45:51.382079,0:01:25.093751,13:24:42.386598
2021-06-16 00:10:25.210204,2021-06-16 00:55:42.210204,0:45:17,14:09:59.386598
2021-06-16 22:53:24.976419,2021-06-16 23:53:57.070166,1:00:32.093747,15:10:31.480345
