2021-03-16 13:11:35.272385,2021-03-16 15:27:41.728012,2:16:06.455627,2:16:06.455627
2021-03-28 18:25:20.673320,2021-03-28 19:56:24.957179,1:31:04.283859,3:47:10.739486
2021-03-30 20:37:39.846638,2021-03-30 23:53:08.082422,3:15:28.235784,7:02:38.975270
2021-04-08 15:08:28.076900,2021-04-08 15:21:05.831978,0:12:37.755078,7:15:16.730348
2021-04-23 22:10:14.025012,2021-04-24 00:19:30.712518,2:09:16.687506,9:24:33.417854
2021-04-30 21:08:09.840952,2021-04-30 21:38:48.294073,0:30:38.453121,9:55:11.870975
2021-05-16 20:11:50.786978,2021-05-16 22:15:09.005728,2:03:18.218750,11:58:30.089725
2021-05-22 14:03:00.526499,2021-05-22 14:35:51.370249,0:32:50.843750,12:31:20.933475
2021-06-15 21:34:11.819580,2021-06-15 22:00:08.507081,0:25:56.687501,12:57:17.620976
2021-06-15 22:00:13.507082,2021-06-15 22:04:58.428954,0:04:44.921872,13:02:02.542848
2021-06-15 22:05:01.272705,2021-06-15 22:26:16.022704,0:21:14.749999,13:23:17.292847
2021-06-15 23:44:26.288328,2021-06-15 23:45:51.382079,0:01:25.093751,13:24:42.386598
2021-06-16 00:10:25.210204,2021-06-16 00:55:42.210204,0:45:17,14:09:59.386598
2021-06-16 22:53:24.976419,2021-06-16 23:53:57.070166,1:00:32.093747,15:10:31.480345
2021-06-27 18:05:01.661540,2021-06-27 18:55:51.005293,0:50:49.343753,16:01:20.824098
2021-06-27 18:55:50.989670,2021-06-27 19:01:50.364667,0:05:59.374997,16:07:20.199095
2021-06-27 19:01:50.364667,2021-06-27 21:45:58.817796,2:44:08.453129,18:51:28.652224
2021-06-27 22:22:05.536541,2021-06-27 22:56:26.599045,0:34:21.062504,19:25:49.714728
2021-07-04 21:27:55.750896,2021-07-04 21:37:32.688398,0:09:36.937502,19:35:26.652230
2021-07-04 23:48:44.704023,2021-07-05 00:44:55.797774,0:56:11.093751,20:31:37.745981
2021-07-05 00:44:56.500899,2021-07-05 00:46:39.485270,0:01:42.984371,20:33:20.730352
2021-07-28 12:50:24.058734,2021-07-28 12:50:26.058731,0:00:01.999997,20:33:22.730349
2021-07-31 20:30:48.239637,2021-07-31 21:44:42.085599,1:13:53.845962,21:47:16.576311
2021-08-02 20:22:39.325624,2021-08-02 20:59:58.747499,0:37:19.421875,22:24:35.998186
2021-08-05 20:14:00.575442,2021-08-05 21:49:16.575439,1:35:15.999997,23:59:51.998183
2021-08-08 22:27:21.369933,2021-08-09 02:36:46.277743,4:09:24.907810,"1 day, 4:09:16.905993"
2021-08-10 01:02:05.914634,2021-08-10 03:00:26.134088,1:58:20.219454,"1 day, 6:07:37.125447"
2021-08-10 12:32:13.165341,2021-08-10 15:20:45.852837,2:48:32.687496,"1 day, 8:56:09.812943"
2021-08-11 21:08:20.356918,2021-08-11 23:49:36.731915,2:41:16.374997,"1 day, 11:37:26.187940"
2021-08-19 13:35:21.235821,2021-08-19 13:41:22.720199,0:06:01.484378,"1 day, 11:43:27.672318"
2021-08-24 21:16:30.478537,2021-08-24 21:35:02.041039,0:18:31.562502,"1 day, 12:01:59.234820"
2021-08-25 13:12:52.648252,2021-08-25 14:28:49.413878,1:15:56.765626,"1 day, 13:17:56.000446"
2021-08-26 23:37:32.716773,2021-08-27 01:04:58.654272,1:27:25.937499,"1 day, 14:45:21.937945"
